sentence,fuel,machine,others,part,price,service
Tiang nganggen Honda Jazz GK5 Warsa 2014 (kapertame meluncur) Mobilne becik lan jaen anut ajak motone menyenangkan untuk dikendarai,neutral,neutral,positive,neutral,neutral,neutral
Ngudiang Avanza dadine boros bensin kene? Wau ngisinin sampun atenga,negative,neutral,neutral,neutral,neutral,neutral
"Piteket tiang lan pengalaman tiang, becikan numbas montor Niaga L300 utawi Canter. Irit lan bengkung",positive,positive,neutral,neutral,neutral,neutral
"Saking segi harga, Pajero mael 30 juta tekening Fortuner",neutral,neutral,neutral,neutral,positive,neutral
Manut tiang becikan Pajero,neutral,neutral,positive,neutral,neutral,neutral
CH-R versi praja puniki kirang sepadan saking fitur lan kelengkapan,neutral,neutral,neutral,negative,neutral,neutral
" @LinaRadj kapan-kapan nyobak bengkel Daihatsu, mereka nyak. Servis ngraris becik",neutral,neutral,neutral,neutral,neutral,positive
"Adenan Confero, hargane langkung murah tekening Formo",neutral,neutral,neutral,neutral,negative,neutral
Yening indik pelayanan ne becikan Grand Livina krana layanan disubane jualnyane dangan lan gelis,neutral,neutral,neutral,neutral,neutral,positive
Lampu utama Grand New Veloz taler polih perubahan desain lan kacingak sayan agresif lan menonjol akidik .,neutral,neutral,neutral,positive,neutral,neutral
Motor Beat tiange sane ngiringin  tiang dija ja tiang lunga lan sane penting bahan bakarnyane ramah lingkungan lan ramah maljih ring kantong lan tarikannyane becik pisan.,positive,positive,neutral,neutral,neutral,neutral
"Xenia warsa 2008 bolak-balik Jakarta - Bandung, aki tetep aman",neutral,neutral,neutral,positive,neutral,neutral
#YamahaID perawatan motor injeksi Yamaha aluh lan mudah,neutral,neutral,neutral,neutral,neutral,positive
Ngaryanin ring kota Xpander becik krana modelne kalem lan kesanne mobil kota,neutral,neutral,neutral,positive,neutral,neutral
"Pajak Brio lebih mudah krana CKD yen saihang teken Ignis utawi Sirion sane CBU, pajakne agak maal lan suku cadangne ??agak meweh utawi mekelo yening  nyemak asuransi",neutral,neutral,neutral,negative,negative,neutral
Toyota menang hargane yening nyanan nyak keadep,neutral,neutral,neutral,neutral,positive,neutral
All new Toyota Kijang Innova G Diesel 2017. Mesin bandel lan irit Otolovers .,positive,positive,neutral,neutral,neutral,neutral
"khususne Daihatsu Xenia Sporty Manual, napi malih sane anyar puniki, tiosan ring hemat bahan  bakar, suara mesinnyane alus. traikane becikan saking generasi sadurungnyane lan akselerasinyane cukup becik lan variasinyane nenten terlalu monoton utawi sibuk.",positive,positive,neutral,positive,neutral,neutral
Great New Xenia sane mangkin  sampun medue fasilitas sane menakjubkan teken rega sane ramah kadi rasa langkung mudah tekening saingannyane,neutral,neutral,neutral,positive,positive,neutral
"Medue mobil Altis nenten awet, mara awarsa ampun rusak",neutral,neutral,negative,neutral,neutral,neutral
"Xenia tiange tipe xi sampun mayusa 1,5 warsa lan cukup bangga antuk kinerjanyane .",neutral,positive,neutral,neutral,neutral,neutral
"Layanan rutin ke bengkel resmi Daihatsu tusing menjamin masih, rem tiange blong dugas di jalan,",neutral,neutral,neutral,neutral,neutral,negative
"Tiang ngangge karimun, adin tiange ngangge brio. Karimun sujatine lebih nyaman yadiastun lebih murah tekening Brio.",neutral,neutral,positive,neutral,positive,neutral
Awak lan tampilanne Avanza mare becik pisan wii,neutral,neutral,neutral,positive,neutral,neutral
"Sampun sue, Toyota setata ngicenin produk super maal antuk fitur sane biasa-biasa kemanten .",neutral,neutral,neutral,negative,negative,neutral
"sube gaya lan ekonomis masih, beli Calya",neutral,neutral,neutral,positive,positive,neutral
Avanza punika mobil tiang sane paling bandel .,neutral,positive,neutral,neutral,neutral,neutral
Mobil sane kaon kualitasne care Wuling gen ngranjing ka Indonesia.,neutral,neutral,negative,neutral,neutral,neutral
Layanan bengkel Daihatsu becik,neutral,neutral,neutral,neutral,neutral,positive
"Tiang medue Xenia Xi, dasborne kena punyan kayu, disubane duang dina perbaikan di layanan Daihatsu resmi, langsung mirib baru buin, keren.",neutral,neutral,neutral,neutral,neutral,positive
"Fortuner per ne katos, leleh",neutral,neutral,neutral,negative,neutral,neutral
"luungan Mobil Esemka, Mobil Nasional Asli Gaenan Negara, Harga Terjangkau, Hemat Bahan Bakar mesinne masih tangguh.",positive,positive,positive,neutral,positive,neutral
"Inggih, keto punika Nissan, mule agak maal nanging daya tahannyane becik.",neutral,neutral,positive,neutral,negative,neutral
Fortuner nenten cocok antuk mahasiswa santukan desainnyane kaliwat mencolok lan maal .,neutral,neutral,neutral,negative,neutral,neutral
Layanan ring bengkel Toyota sayan gelis,neutral,neutral,neutral,neutral,neutral,positive
Honda Spacy punika wiakti hemat sumpah,positive,neutral,neutral,neutral,neutral,neutral
Nenten prasida sirep petengne ring mobil santukanmunyin AC ne keras pisan,neutral,neutral,neutral,negative,neutral,neutral
"Heh, bengkel Honda ene sujatine pekel sajan, akin motor tiang ditukar ajak ane jelek pang sing ngidang idup terus ada keluhan terus kemu biin keto",neutral,neutral,neutral,neutral,neutral,negative
"Saking segi kenyamanan Cortez ento oke, nanging bahan bakarne sujatine boros sajan",negative,neutral,positive,neutral,neutral,neutral
"Jujur gen, inden ne makelo pesan uli dealer, suba abulan durung teka",neutral,neutral,neutral,neutral,neutral,negative
"wawu gabung nggih, wawu numbas xenia 04 - 2008 3 hari yang lalu secara keseluruhan tiang merasa sampun cukup.",neutral,neutral,positive,neutral,neutral,neutral
Tiang setuju sajan yening jazz punika lebih keren lan becik tekening mobilio .,neutral,neutral,negative,neutral,neutral,neutral
"Masya Allah, Toyota punika maal hargane, nanging pelit ring fitur",neutral,neutral,neutral,negative,negative,neutral
Suku cadang Fortuner sampun bek kaadol ring dija-dija .,neutral,neutral,neutral,positive,neutral,neutral
"Alhamdulilah, inden saking dealer wuling ring agustus awal sampun teke, becat.",neutral,neutral,neutral,neutral,neutral,positive
"Vario 125 puniki enteng pisan lan nyaman kaanggen olih anak istri sakadi titiang, napi malih ritatkala makta ring dija-dija, punika ekonomis pisan lan harganyane terjangkau yening saihang sareng motor Honda sane lianan.",positive,neutral,positive,neutral,positive,neutral
"sampun numbas sane 2018 rush, Alhamdulilah ten wenten penyesalan ngantos mangkin lan insya Allah benjang pungkur",neutral,neutral,positive,neutral,neutral,neutral
Juara penanganan Mini Cooper sane sampun lintang.,neutral,neutral,neutral,positive,neutral,neutral
"Tiang puas pisan sareng mobil tiange, lempas saking dados awak sane gede, kacingak mewah lan hemat bahan bakar pisan krana nganggen solar dadosne mantap Kijang Innova .",positive,neutral,positive,positive,neutral,neutral
"Xenia nenten ja sue pisan, sesampun wantah 6 bulan sampun bermasalah",neutral,neutral,negative,neutral,neutral,neutral
"Tiang suba makelo ngantosang pivot Xpander, nah tiang ngadol mobil ene",neutral,neutral,neutral,neutral,neutral,negative
"Tiang nyetir Mazda CX3 sadina-dina. kinerja mantap, mobil nyaman nenten sekadi Honda HRV sane cenderung goyang bolak-balik",neutral,neutral,negative,neutral,neutral,neutral
"Mesin Avanza punika magejeran lancar yadiastun ring margi sane nenten rata, AC nenten ngreredang yadiastun kaidupang tanpa henti, lan mesine nenten gelis panes yadiastun sampun macet makudang-kudang menit.",neutral,positive,neutral,positive,neutral,neutral
"Wuling Formo ento mobil Cina, mesine tusing makelo sawireh di Cina tusing ada ane tahan makelo.",neutral,negative,neutral,neutral,neutral,neutral
"Mobil Hondane keren pisan, tiang ngelah Honda CRV tahun 2006 kanti jani masih jalan lancar,",neutral,neutral,positive,neutral,neutral,neutral
"Honda setata toleran lan kapaksa sabilang ngangkat mobil sane sampun wenten, punika membosankan",neutral,neutral,negative,neutral,neutral,neutral
"Bengkel layanan Ahas Togosari nenten memuaskan, mekaniknyane nenten fokus lan kaon. nenten sakadi dumun . sapunapi bos punika?",neutral,neutral,neutral,neutral,neutral,negative
"Majeng ring semeton sane berorientasi sopir, Mitsubishi puniki wiakti cocok antuk mobil sane asyik nyetir lan dangan kaambil ring jaba utawi ring kota .",neutral,neutral,positive,neutral,neutral,neutral
N - Maks biaya perawatan sane maal pacang lebih boros ketimbang yening nganggen transportasi umum .,neutral,neutral,neutral,neutral,neutral,negative
Fortuner punika lebih mewah lan lebih gede .,neutral,neutral,positive,neutral,neutral,neutral
"Xenia punika sujatine iraga! Cocok kaanggen ring dija ja, layanannyane dangan, harganyane terjangkau, dangan kaanggen.",neutral,neutral,positive,neutral,positive,positive
Napi mawinan tiang milih Pajero krana tiang sering mulih rikala lebaran lan jalan-jalanne paling jelek lan lereng-lerengne curam pesan tanpa aspal .,neutral,positive,neutral,neutral,neutral,neutral
"Konsumsi bahan bakar prasida kapaksa dados 1:12 yening nyetir antuk cara sane waras, Altis G 2003 MT puniki cukup ekonomis",positive,neutral,neutral,neutral,neutral,neutral
"Harga purna jual Toyota sujatine becikan. Nanging inggih, jadma sakadi titiang puniki mikayunin yening ipun numbas mobil anggen nganggen, nenten ngadol. Haha",neutral,neutral,neutral,neutral,positive,neutral
" @YamahaIndonesia Jasa bengkel Yamaha ring Poso jele pisan, bro, dibi ipun ngorahin tiang mangda ngamargiang rahinane mangkin, rahinane mangkin ipun rauh lan ngorahang nenten prasida",neutral,neutral,neutral,neutral,neutral,negative
"Tiang numbas Honda Beat puniki ring warsa 2015, motor puniki sampun wenten tigang warsa. Tiang makarya cukup doh saking umah tiange, nanging sampun mabukti hemat bahan bakar pisan, ring sisi sane lianan wenten rem ganda sane ngawinang sepeda puniki luar biasa.",positive,neutral,neutral,positive,neutral,neutral
"Lampu sirah Avanza taler nganggen model sane anyar. Antuk pauwahan punika, mobil puniki madue desain sane sayan elegan, Pak.",neutral,neutral,neutral,positive,neutral,neutral
"Tiang nyesel meli Mobilio, pisagan tiange meli Wuling Cortez lan sampun puas pisan",neutral,neutral,positive,neutral,neutral,neutral
Brio inggih punika mobil sane ekonomis anggen kulawarga kelas menengah .,neutral,neutral,neutral,neutral,positive,neutral
"batis taler sampun aman lan normal. Nenten naenin ngentosin suku cadang napi-napi sajabaning oli radiator lan filter, Brio sane becik pisan",neutral,neutral,neutral,positive,neutral,neutral
"Wenten malih siki sane manut titiang sepele nanging nyenengin, inggih punika fitur Brake Hold ring HRV .",neutral,neutral,neutral,positive,neutral,neutral
xpander mirib mobil 2020,neutral,neutral,positive,neutral,neutral,neutral
Toyota Rush puniki sane pinih becik ring kelasnyane lan ring garis depan ring masanyane.,neutral,neutral,positive,neutral,neutral,neutral
Brio tusing melah tiang sumpah.,neutral,neutral,negative,neutral,neutral,neutral
"Kaanggen makarya sadina-dina, nenten naenin rewel, mesine andel, cocok sareng kebutuhan tiang, ekonomi bahan bakar nenten wenten sane nyandingin.",positive,positive,positive,neutral,neutral,neutral
Becikan yening Mitsubishi Xpander menang rata-rata ring sakancan aspek,neutral,neutral,positive,neutral,neutral,neutral
Sapunapi antuk bengkel Toyota punika jelek pisan? Ia ngorahang nomorne lakar katelepon nanging nomerne manual :(,neutral,neutral,neutral,neutral,neutral,negative
Wantah 10 menit jagi ngresikin injektor motor injeksi Yamaha :D sane maarti motor injeksi YMH madue perawatan sane murah & gampang,neutral,neutral,neutral,neutral,neutral,positive
"Kekirangan Formo puniki sekilas: fitur keamanan sane minimal, kualitas finishing interior sane kaon.",neutral,neutral,neutral,negative,neutral,neutral
Meweh pisan nelpon jagi booking jasa oto Toyota 2000! Tiang sujatine harus booking ditu :(,neutral,neutral,neutral,neutral,neutral,negative
Motor injeksi Yamaha puniki dangan lan murah antuk miara .,neutral,neutral,neutral,neutral,neutral,positive
"Pengalaman nganggen HRV 1,5 E, ribut shockbreaker rikala ring jalan tol Cikampek lan banging rikala negak ring ungkur",neutral,neutral,neutral,negative,neutral,neutral
"Honda Beat puniki hemat bahan bakar pisan, ringan antuk ngelintangin ring margi sane macet, mesinnyane narik dangan pisan.",positive,positive,positive,neutral,neutral,neutral
Mobil WULING CONFERO puniki patut pisan kapilih lan TUMBAS pinaka mobil MPV sane nyaman antuk harga sane terjangkau.,neutral,neutral,neutral,neutral,positive,neutral
Milih Terios sane anyar nenten karasayang iwang .,neutral,neutral,positive,neutral,neutral,neutral
"Xenia punika sujatine ekonomis, napi malih yening sampun keren. coba matiang AC dogen, cening nyidaang melancaran aji 25.000 rupiah.",positive,neutral,neutral,neutral,neutral,neutral
Mobil Wuling Confero S puniki nyaman kaanggen ring medan petualangan.,neutral,neutral,positive,neutral,neutral,neutral
Puas pisan sareng Nissan's purna jual.,neutral,neutral,neutral,neutral,neutral,positive
"Avanza puniki dangan antuk miara,",neutral,neutral,neutral,neutral,neutral,positive
"Yening maosang indik mesin lan wangun top Yamaha, sakadi mangkin tiang nganggen NMAX 2018 sane sampun sue tiang mata-mata, tiang seneng pisan sareng wangunnyane.",neutral,positive,neutral,positive,neutral,neutral
"pikobetnyane, Xenia 2005 kadang dasborne ngae suara,",neutral,neutral,neutral,negative,neutral,neutral
"Lan kabinne masih linggah tekening Fortuner, nanging Pajerone cupit, apa buin di arep",neutral,neutral,neutral,negative,neutral,neutral
"Layanan bengkel ring pinggir jalan kabaos kaon, hasil layanan ring dealer resmi, layanan kaon, Honda scumbag",neutral,neutral,neutral,neutral,neutral,negative
"Sekadi mangkin, nganggen Xexi sampun cukup becik lan nyaman taler.",neutral,neutral,positive,neutral,neutral,neutral
"Rata-rata harga BBM ring jaba kota taler prasida ngantos 1:16, ekonomis pisan majeng ring Mitsubishi .",positive,neutral,neutral,neutral,neutral,neutral
"kelemahan Xenia 1, NEGEK RING BARIS BELAKANG SEKADI NUNGGIN UNTA! PUNIKI BUDA PUNIKI RASAYANG PUSING.",neutral,neutral,neutral,negative,neutral,neutral
Nanging sane sujatine kaon ring Freed inggih punika seretannyane.,neutral,negative,neutral,neutral,neutral,neutral
Fortuner inggih punika mobil sane dayanyane lemah lan harganyane berlebihan .,neutral,negative,neutral,neutral,negative,neutral
Tiang nyaranin tuah meli suku cadang Vario lan aftermarket masih oke .,neutral,neutral,neutral,positive,positive,neutral
"Brio nenten cocok kabakta ka medan sane meweh, punika lemet",neutral,neutral,positive,neutral,neutral,neutral
"Sederhana, cocok antuk julukannyane, Honda Beat, gaya desain sayan minimalis nanging juara ring kelasnyane, juara hemat bahan bakar, ramah lan ramah ring kantong lan dompet, setata sukses Honda one Heart",positive,neutral,neutral,positive,positive,neutral
"Kirangnyane daya ring Ertiga taler agak ngresepang,",neutral,negative,neutral,neutral,neutral,neutral
"Tiang makeneh Veloz Baru puniki sampun akeh ngae perbaikan, napi malih ring suspensi yening saihang sareng sane dumun. Pusing mental, nglingga tangan, nenten stabil sampun kirang.",neutral,neutral,neutral,positive,neutral,neutral
" @DaihatsuInd akeh anak sane ngrunguang yening layanan kedua ring Astra Daihatsu punika maal. Ngiring ngajahin bengkel resmi, sampunang maplalian sareng harga utawi indik suku cadang sane becik nenten perlu kagentosin",neutral,neutral,neutral,neutral,neutral,negative
Raris radio HRV punika idup padidi antuk volume sane maksimal. Punika nénten prasida kapademang utawi kakirangin.,neutral,neutral,neutral,negative,neutral,neutral
